restaurant_id,name,category,price_tier,neighborhood,opening_hours,average_rating,good_for_kids
1,The Cozy Corner,Thai,expensive,Park Slope,7:18,3.8,false
2,The Velvet Fork,American,medium,Hell's Kitchen,1:05,1.1,false
3,Mango Tango,Mexican,expensive,Chelsea,19:16,0.7,false
4,The Hungry Hippo,French,expensive,Williamsburg,7:15,2.1,true
5,Whisk & Ladle,French,medium,Greenpoint,5:28,4.7,false
6,Saffron Delight,Greek,cheap,Park Slope,5:28,1.5,false
7,Whisk & Ladle,Greek,cheap,Williamsburg,9:34,2.2,true
8,The Hungry Hippo,Mediterranean,expensive,Williamsburg,1:06,1.5,false
9,Whisk & Ladle,Thai,medium,Astoria,1:58,2.5,true
10,Mango Tango,Mediterranean,expensive,Harlem,23:50,1.2,false
11,Saffron Delight,Japanese,medium,Astoria,22:42,2.3,true
12,The Cozy Corner,Japanese,cheap,Chelsea,21:44,2.9,true
13,Flamingo Bistro,Italian,expensive,Chelsea,23:50,3.5,true
14,Crispy Crust Pizzeria,Italian,expensive,Jackson Heights,4:26,3.3,false
15,The Velvet Fork,Italian,cheap,Park Slope,21:37,0.2,false
16,The Cozy Corner,Indian,expensive,Hell's Kitchen,6:31,3.1,true
17,The Hungry Hippo,Italian,cheap,Hell's Kitchen,18:21,4.9,false
18,Flamingo Bistro,Mediterranean,cheap,Park Slope,11:55,3.1,false
19,The Hungry Hippo,Greek,medium,Chelsea,13:42,1.9,false
20,Flamingo Bistro,Mediterranean,expensive,Astoria,11:11,3.0,true
21,Sizzle & Spice,Thai,expensive,Jackson Heights,2:03,3.2,true
22,Sizzle & Spice,French,expensive,Greenpoint,17:53,1.4,false
23,The Cozy Corner,Greek,cheap,Astoria,14:30,3.6,true
24,Whisk & Ladle,Japanese,cheap,Upper East Side,18:36,2.1,false
25,Flamingo Bistro,Indian,cheap,Williamsburg,19:38,3.0,true
26,The Cozy Corner,Mediterranean,cheap,Harlem,5:39,2.0,true
27,Ocean Blue Grill,Italian,medium,Williamsburg,15:38,4.2,true
28,The Velvet Fork,Mexican,expensive,Williamsburg,21:39,0.9,false
29,The Velvet Fork,French,expensive,Jackson Heights,20:26,4.8,true
30,Crispy Crust Pizzeria,Mexican,cheap,Jackson Heights,0:59,1.7,false
31,The Cozy Corner,Mexican,cheap,Jackson Heights,6:31,3.1,false
32,The Cozy Corner,Italian,medium,Park Slope,2:49,0.4,true
33,Ocean Blue Grill,Greek,medium,Chelsea,8:53,3.9,true
34,Crispy Crust Pizzeria,American,cheap,Chelsea,11:45,2.5,true
35,Sizzle & Spice,Mediterranean,expensive,Williamsburg,16:02,3.3,false
36,Whisk & Ladle,Thai,cheap,Chelsea,21:30,2.1,false
37,Mango Tango,Japanese,cheap,Bushwick,8:30,5.0,true
38,The Cozy Corner,Indian,medium,Harlem,17:31,1.4,false
39,The Velvet Fork,Italian,medium,Park Slope,17:12,3.1,true
40,The Velvet Fork,French,cheap,Harlem,21:17,0.9,true
41,Sizzle & Spice,Japanese,medium,Bushwick,1:53,4.2,false
42,The Hungry Hippo,Greek,expensive,Hell's Kitchen,14:22,2.0,false
43,Ocean Blue Grill,Indian,expensive,Williamsburg,17:23,0.9,true
44,The Cozy Corner,Thai,cheap,Upper East Side,6:53,0.8,false
45,Ocean Blue Grill,American,medium,Greenpoint,15:05,3.6,true
46,Flamingo Bistro,Japanese,cheap,Greenpoint,18:28,1.6,false
47,Flamingo Bistro,Mediterranean,expensive,Greenpoint,22:34,3.3,false
